12.09.2018;12.09.2018;12.09.2018;12.09.2018;12.10.2018;12.10.2018;12.10.2018;12.10.2018;12.11.2018;12.11.2018;12.11.2018;12.11.2018;12.12.2018;12.12.2018;12.12.2018;12.12.2018
<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
104910;105080;104750;104840;113030;114060;113030;113820;111190;112360;111190;112330;112800;113480;112800;113220
104750;104800;104750;104760;113830;114030;113830;113990;112320;112520;112290;112300;113220;113350;113200;113300
104840;104930;104840;104890;113990;114040;113900;113910;112300;112450;112290;112310;113300;113480;113220;113240
104860;104870;104800;104800;113920;113980;113840;113880;112300;112390;112290;112390;113230;113290;113160;113210
104830;104860;104820;104860;113880;113900;113790;113850;112400;112450;112380;112420;113200;113290;113170;113260
104880;104880;104760;104760;113860;113940;113840;113890;112430;112460;112370;112450;113270;113290;113170;113250
104760;104800;104760;104790;113890;113970;113840;113870;112450;112600;112410;112590;113260;113270;113200;113220
104830;104890;104830;104890;113870;113960;113860;113950;112590;112620;112520;112530;113240;113280;113210;113230
104850;104850;104850;104850;113940;113940;113880;113890;112540;112590;112490;112500;113230;113230;113120;113150
104880;104890;104800;104820;113900;113900;113790;113890;112500;112530;112390;112470;113160;113280;113140;113220
104870;104880;104870;104880;113900;113920;113820;113860;112480;112500;112410;112490;113230;113250;113210;113250
104890;104890;104890;104890;113850;113920;113850;113890;112490;112520;112440;112470;113250;113260;113200;113220
104880;104900;104880;104900;113890;113920;113850;113890;112470;112540;112460;112540;113210;113230;113190;113200
104950;105050;104950;105030;113900;113930;113850;113890;112530;112610;112530;112600;113190;113280;113190;113270
105030;105030;105030;105030;113900;113960;113890;113950;112610;112680;112570;112580;113270;113280;113230;113250
105050;105140;105050;105120;113950;114000;113900;113950;112580;112640;112520;112610;113270;113270;113220;113220
105100;105260;105100;105260;113950;113960;113880;113880;112620;112680;112580;112650;113210;113210;113050;113100
105280;105290;105230;105290;113890;113890;113730;113770;112650;112730;112620;112670;113100;113100;113030;113040
105300;105350;105300;105310;113770;113800;113720;113800;112680;112680;112610;112620;113030;113150;113010;113110
105280;105340;105280;105340;113790;113860;113740;113850;112630;112670;112610;112670;113120;113120;112990;113040
105330;105340;105290;105320;113850;114080;113850;114070;112670;112700;112660;112670;113040;113040;112920;113040
105260;105270;105240;105240;114070;114150;113990;113990;112680;112730;112650;112660;113050;113080;113000;113040
105250;105270;105230;105230;114000;114030;113940;113950;112650;112680;112600;112610;113050;113060;113000;113010
105220;105240;105220;105220;113940;113970;113870;113880;112610;112630;112540;112570;113000;113010;112930;112960
105200;105200;105180;105180;113880;113950;113840;113860;112560;112580;112540;112560;112980;113010;112950;112960
105250;105270;105240;105270;113860;113920;113820;113830;112570;112590;112490;112490;112960;112980;112820;112910
